"","nflId","displayName","position","tot_dist_run","avg_dist_bc","avg_dist_ball","min_speed","speed_10","speed_25","med_speed","speed_75","speed_90","max_speed","avg_speed","var_speed","min_acceleration","acc_10","acc_25","med_acceleration","acc_75","acc_90","max_acceleration","avg_acceleration","var_acceleration","plays","height","weight","bmi","tackles","assists","forcedFumbles","missed_tackles","stops","avg_DIB","tot_epa","avg_stop_epa","successes_allowed","success_rate_allowed","pos_group","avg_dist_run","tackle_rate","assit_rate","ff_rate","missed_tackle_rate","stop_rate","true_stops","true_stop_rate","true_tackles","true_tackle_rate","pos_group_num"
"1",33131,"Calais Campbell","DE",2383.55,10.8787929079486,10.185470184963,0,0.39,1.02,2.25,3.57,4.82,8.02,2.44117828632251,2.8290550198393,0,0.37,0.77,1.39,2.04,2.64,6.56,1.46153592336349,0.784612426721936,229,80,300,187.466666666667,8,10,0,4,18,6.77777777777778,0.694132932,0.0385629406666667,6,0.333333333333333,"DL",10.4085152838428,0.0349344978165939,0.0436681222707424,0,0.0174672489082969,0.0786026200873362,12,0.0524017467248908,14,0.0611353711790393,2
"2",35449,"Tyson Alualu","NT",1258.16,8.29105507240011,7.36935653743194,0,0.23,0.7125,1.88,3.38,4.81,6.22,2.19171858216971,2.81109255176565,0,0.31,0.7,1.23,1.85,2.43,4.63,1.32637844611529,0.687138914228274,127,75,304,173.4375,4,4,0,1,8,7.25,-3.270356629,-0.408794578625,2,0.25,"DL",9.90677165354331,0.031496062992126,0.031496062992126,0,0.0078740157480315,0.062992125984252,6,0.047244094488189,7,0.0551181102362205,2
"3",35452,"Brandon Graham","DE",1494.94,10.8889389734879,10.2927728049227,0,0.39,1.52,2.83,4.05,5.03,7.04,2.81673747807445,2.82312011410974,0,0.41,0.96,1.71,2.44,3.07,5.39,1.73826739427012,1.02153058423685,127,74,265,196.309433962264,6,6,0,1,12,5.83333333333333,-7.799980443,-0.64999837025,1,0.0833333333333333,"DL",11.7711811023622,0.047244094488189,0.047244094488189,0,0.0078740157480315,0.094488188976378,11,0.0866141732283465,11,0.0866141732283465,2
"4",35454,"Jason Pierre-Paul","DE",1660.11,10.0975055339987,9.51091375142676,0,0.32,1.01,2.04,3.5625,5.03,7.66,2.39778259569378,3.04160900491912,0,0.34,0.75,1.4,2.11,2.76,6.78,1.50130980861244,0.920381744590482,162,77,275,196.84,3,3,0,1,6,6.5,1.595742411,0.2659570685,4,0.666666666666667,"DL",10.2475925925926,0.0185185185185185,0.0185185185185185,0,0.00617283950617284,0.037037037037037,2,0.0123456790123457,5,0.0308641975308642,2
"5",35459,"Kareem Jackson","SS",5251.78,13.7779477589173,12.9005143460072,0,0.6,1.43,3.19,4.95,6.22200000000001,9.46,3.30951825461883,4.42308155627855,0,0.46,1.03,1.96,3.08,4.07,9.08,2.14128003026673,1.87784930100805,369,70,185,266,28,23,0,9,51,6.19607843137255,26.979142372,0.529002791607843,37,0.725490196078431,"DB",14.2324661246612,0.0758807588075881,0.0623306233062331,0,0.024390243902439,0.138211382113821,14,0.037940379403794,42,0.113821138211382,1
"6",35466,"Devin McCourty","FS",5222.35,14.0619809857266,13.23775915034,0,0.37,1.39,3.13,4.83,6.19,9.77,3.21818148170995,4.58165236212713,0,0.4,1.04,1.94,2.88,3.74,7.35,2.02994386527666,1.62509684447362,351,70,195,252.358974358974,36,9,0,3,45,6.28888888888889,57.275348928,1.27278553173333,42,0.933333333333333,"DB",14.87849002849,0.102564102564103,0.0256410256410256,0,0.00854700854700855,0.128205128205128,3,0.00854700854700855,42,0.11965811965812,1
"7",35470,"Jerry Hughes","DE",2974.38,9.84213791215291,9.01120217427869,0,0.32,1.14,2.595,4.08,5.45,9.2,2.74724249952226,3.70390994921512,0,0.36,0.86,1.57,2.38,3.14,5.85,1.68840722339002,1.18092607247147,212,74,254,204.811023622047,6,5,0,7,11,7,-2.993107422,-0.272100674727273,5,0.454545454545455,"DL",14.0300943396226,0.0283018867924528,0.0235849056603774,0,0.0330188679245283,0.0518867924528302,6,0.0283018867924528,4,0.0188679245283019,2
"8",35493,"Carlos Dunlap","OLB",1737.71,9.8697800847828,9.19828422198008,0,0.32,1.22,2.42,3.85,5.05,9.11,2.62010535821794,3.20639095683415,0,0.45,0.94,1.59,2.4,3.33,6.61,1.77081878386514,1.31681895917745,161,78,285,192.4,8,5,0,1,13,6.23076923076923,-4.441792423,-0.341676340230769,4,0.307692307692308,"LB",10.7932298136646,0.0496894409937888,0.031055900621118,0,0.0062111801242236,0.0807453416149068,9,0.0559006211180124,12,0.0745341614906832,3
"9",35522,"Corey Peters","DT",785.93,8.86978504981397,8.6111525604342,0,0.19,0.77,1.66,3.035,4.22,6.88,1.98735009164703,2.27845871737231,0,0.26,0.65,1.14,1.73,2.26,4.85,1.22225713537575,0.584533143921703,85,75,335,157.388059701493,2,4,0,0,6,7.66666666666667,0.485513649,0.0809189415,4,0.666666666666667,"DL",9.24623529411765,0.0235294117647059,0.0470588235294118,0,0,0.0705882352941176,2,0.0235294117647059,6,0.0705882352941176,2
"10",35562,"Al Woods","NT",1390.62,8.88939090773409,7.66959647215011,0,0.2,0.66,1.39,2.69,4.16,7.04,1.81949211908932,2.2003922103596,0,0.25,0.54,1.04,1.67,2.34,5.22,1.18705375185235,0.690584568250204,159,76,330,161.90303030303,13,9,0,1,22,7,-3.520067704,-0.160003077454545,8,0.363636363636364,"DL",8.74603773584906,0.0817610062893082,0.0566037735849057,0,0.00628930817610063,0.138364779874214,14,0.0880503144654088,21,0.132075471698113,2
"11",37075,"Von Miller","OLB",2313.52,12.2897774782484,11.7122876315643,0,0.49,1.42,2.31,3.61,4.62,8.8,2.51134097108565,2.41287826489146,0,0.35,0.82,1.58,2.57,3.54,7.43,1.78350354609929,1.49487180283007,221,75,250,210.9,8,1,0,3,9,6,-6.081253462,-0.675694829111111,0,0,"LB",10.4684162895928,0.0361990950226244,0.00452488687782805,0,0.0135746606334842,0.0407239819004525,9,0.0407239819004525,6,0.0271493212669683,3
"12",37078,"Patrick Peterson","CB",4854.28,16.357359854564,15.8678038393703,0,0.35,1.2,2.82,4.54,6.135,9.05,3.03411388435971,4.58228274250147,0,0.36,0.9,1.77,2.76,3.74,11.86,1.94036874451273,1.71087588785088,373,73,203,252.802955665025,25,4,0,2,29,6,16.080971375,0.554516254310345,16,0.551724137931034,"DB",13.0141554959786,0.0670241286863271,0.0107238605898123,0,0.00536193029490617,0.0777479892761394,13,0.0348525469168901,27,0.0723860589812333,1
"13",37084,"J.J. Watt","DE",2545.77,11.9581845574816,11.2365488394525,0,0.29,0.98,1.97,2.99,3.82,6.65,2.05077315279171,1.76627465922734,0,0.31,0.72,1.28,1.95,2.62,5.85,1.38851638248078,0.775788846091201,280,77,288,187.954861111111,7,4,0,1,11,6.90909090909091,-6.087402277,-0.553400207,1,0.0909090909090909,"DL",9.09203571428571,0.025,0.0142857142857143,0,0.00357142857142857,0.0392857142857143,10,0.0357142857142857,10,0.0357142857142857,2
